Experiment ID,Dataset Name,Model,Question,No Data,Precision,Recall,F1,Correct Rows,Extra Rows,Missing Rows,Number of Retries,Successful Code Exec. Duration,Total Duration
eea522df-dd1b-4a68-a1e0-e267cbf635f2,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,0.0,0.0,0.0,0,0,20,0,0.34,7.33
c98ef175-0283-4e4f-a7e9-d41aef48a675,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,0.0,0.0,0.0,0,0,20,0,0.31,10.35
c7c34d1f-6c73-472c-abec-1ca91b20c4e3,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,0.0,0.0,0.0,0,0,20,0,0.34,11.09
7702b760-dcd4-42bf-9c57-3e37a529641e,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,0.0,0.0,0.0,0,0,20,0,0.27,7.32
8c1cde7e-9a77-49d7-9da3-fcc6c37b729e,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,0.0,0.0,0.0,0,0,20,0,0.35,14.78
5e8dcacc-80d3-4145-9742-9557fe997e2c,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,,,,0,0,0,1,0,0
8d659a20-abfc-4f56-bf8e-e7d1cb36ed23,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,0.0,0.0,0.0,0,0,19,0,0.28,12.58
833f2d6b-bb49-44f9-9b5b-a380b20b58f6,instagram-NEW4-2024-02-06-FTQ9jtOp_with_countdown,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,,,,0,0,0,6,,85.48
334adae7-bb90-40ae-a6f2-6ac69f8faa8e,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,0.0,0.0,0.0,0,0,19,0,0.26,12.18
6abb0473-e9eb-40ea-87d3-1bbfe235be28,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,0.0,0.0,0.0,0,0,19,0,0.3,17.99
ed6a42c0-a4d4-42c4-9480-b95694dc129f,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,False,0.0,0.0,0.0,0,0,10,0,0.35,16.03
b6f8a3c2-9a3b-4e88-af00-afd97c587ad5,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,False,0.0,0.0,0.0,0,0,10,0,0.29,16.31
1ce14dff-fe25-4a9d-9705-5a4854d66246,instagram-miger_shkrepa-2025-01-21-TDz5ZSZM,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,True,,,,0,0,0,6,,95.63
c9aa026f-69bc-412a-b7e9-ff887cac6282,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,False,0.0,0.0,0.0,0,0,453,1,0.54,14.91
e19aa932-13d4-44ac-a531-1f7daa7a4f8b,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,False,0.0,0.0,0.0,0,0,453,0,0.36,6.31
ec937091-95e0-49df-b16f-deb50b5245fe,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,False,0.0,0.0,0.0,0,0,453,0,0.34,6.28
4754048f-a025-48e8-8058-4276cb974d23,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,True,,,,0,0,0,1,0,0
81747e1a-3035-4afa-a7b1-6ac34694af0e,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,Which devices has the user logged in from and when?,False,0.0,0.0,0.0,0,0,5,0,0.4,6.11
9ab06df0-5e1f-4809-a768-b3b92dabce81,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,"What Instagram account changes (e.g., name, phone, email) has the user made over time?",True,,,,0,0,0,1,0,0
57c859b6-e0ad-406f-ae2b-de7ff8b2b695,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,"What Instagram account changes (e.g., name, phone, email) has the user made over time?",True,,,,0,0,0,1,0,0
aa2f8fbf-2fd3-4272-8b6b-7ee022dde8d8,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,"What Instagram account changes (e.g., name, phone, email) has the user made over time?",False,0.0,0.0,0.0,0,3,3,3,0.65,118.96
5448f46d-14ae-4560-ad3c-daa575cac50c,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,"What Instagram account changes (e.g., name, phone, email) has the user made over time?",True,,,,0,0,0,1,0,0
ab20b240-cbbc-4337-abae-50eb20586ac8,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,"What Instagram account changes (e.g., name, phone, email) has the user made over time?",True,,,,0,0,0,1,0,0
ec3e780e-2f51-442f-929b-65d5ac28076e,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,Whose stories does the user tend to engage with most often?,False,0.0,0.0,0.0,0,1,57,0,3.28,8.47
64a4170c-27c5-418d-8c59-d5b7cf1c885c,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,Which profiles does the user follow that do not follow him back?,True,,,,0,0,0,1,0,0
90c9600b-45df-4b0c-a0fb-2f68a3228616,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often does the user view content (including both posts and videos) and from which accounts?,False,0.0,0.0,0.0,0,1,156,0,1.18,19.11
f3d2797d-bf99-4da2-b465-559cc4e91818,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often does the user view content (including both posts and videos) and from which accounts?,False,0.0,0.0,0.0,0,1,156,0,0.34,17.13
ee7ae99b-6df1-4c97-ab07-670ffaf3cfd9,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,Which accounts has the user viewed posts from but not liked them?,False,0.0,0.0,0.0,0,0,78,1,0.3,25.87
d61583b6-2864-4972-9ae1-43f6be039db8,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,Which accounts has the user viewed posts from but not liked them?,False,0.0,0.0,0.0,0,0,78,1,0.28,12.4
